emoji,name,cos_sim_cad,cos_sim_prompt
🧸,teddy_bear,0.129590,0.083856
🚀,rocket,0.129517,0.142365
🍣,sushi,0.129260,0.284659
🟢,green_circle,0.129243,0.147468
🍕,pizza,0.129104,0.248796
🌾,sheaf_of_rice,0.128869,0.116460
🕴🏻,person_in_suit_levitating_light_skin_tone,0.128862,0.050247
🦐,shrimp,0.128853,0.138411
🌂,closed_umbrella,0.128638,0.095312
☃,snowman,0.128522,0.178715
🌁,foggy,0.128442,0.051956
🧝🏼,elf_medium-light_skin_tone,0.128136,0.230876
🐮,cow_face,0.127968,0.235666
🦙,llama,0.127910,0.164349
💘,heart_with_arrow,0.127870,0.190328
🥧,pie,0.127732,0.153869
🤞🏼,crossed_fingers_medium-light_skin_tone,0.127631,0.141535
🍹,tropical_drink,0.127629,0.228117
🦅,eagle,0.127614,0.226032
🥂,clinking_glasses,0.127613,0.197826
🍥,fish_cake_with_swirl,0.127599,0.197828
🦸🏻,superhero_light_skin_tone,0.127419,0.160176
🐬,dolphin,0.127173,0.233762
🤘🏽,sign_of_the_horns_medium_skin_tone,0.127163,0.207198
🦉,owl,0.127076,0.136749
👌🏻,OK_hand_light_skin_tone,0.126987,0.088555
✌🏻,victory_hand_light_skin_tone,0.126824,0.043334
🌛,first_quarter_moon_face,0.126761,0.201915
🐵,monkey_face,0.126720,0.268159
🌄,sunrise_over_mountains,0.126448,0.272240
🐰,rabbit_face,0.126225,0.264905
🐸,frog,0.126211,0.188451
🐇,rabbit,0.126097,0.235625
🐚,spiral_shell,0.126016,0.225587
🧙🏽,mage_medium_skin_tone,0.125949,0.182158
👏🏽,clapping_hands_medium_skin_tone,0.125932,0.091687
👏,clapping_hands,0.125775,0.097931
👃🏻,nose_light_skin_tone,0.125769,0.110144
🍏,green_apple,0.125763,0.094236
☀️,sun,0.125709,0.264468
🍚,cooked_rice,0.125304,0.254884
👌🏾,OK_hand_medium-dark_skin_tone,0.125262,0.065633
💯,hundred_points,0.125136,0.050630
🐢,turtle,0.125115,0.261716
🦀,crab,0.125004,0.185683
🍻,clinking_beer_mugs,0.124993,0.256249
🎅,Santa_Claus,0.124975,0.266682
🌵,cactus,0.124963,0.226069
🥃,tumbler_glass,0.124895,0.191644
👌🏼,OK_hand_medium-light_skin_tone,0.124814,0.122253
💑🏻,couple_with_heart_light_skin_tone,0.124801,0.183986
🌗,last_quarter_moon,0.124793,0.157971
🤹🏻,person_juggling_light_skin_tone,0.124783,0.118612
🤝🏻,handshake_light_skin_tone,0.124775,0.105646
🤛🏾,left-facing_fist_medium-dark_skin_tone,0.124613,0.135274
🤳🏼,selfie_medium-light_skin_tone,0.124582,0.200567
🐐,goat,0.124557,0.211881
🧢,billed_cap,0.124506,0.105876
👶🏽,baby_medium_skin_tone,0.124453,0.198694
💤,ZZZ,0.124213,0.100725
🟩,green_square,0.123992,0.070051
🧝,elf,0.123980,0.179792
🍝,spaghetti,0.123927,0.182003
🦃,turkey,0.123863,0.160056
🫸🏼,rightwards_pushing_hand_medium-light_skin_tone,0.123809,0.152734
🍡,dango,0.123744,0.121507
🍉,watermelon,0.123694,0.290347
🧙🏻,mage_light_skin_tone,0.123524,0.164556
💑🏼,couple_with_heart_medium-light_skin_tone,0.123520,0.223338
🤲🏻,palms_up_together_light_skin_tone,0.123454,0.202234
🌝,full_moon_face,0.123392,0.044680
🦞,lobster,0.123381,0.204189
🐘,elephant,0.123362,0.264357
🍶,sake,0.123294,0.241600
🥗,green_salad,0.123290,0.204278
🍱,bento_box,0.123180,0.251658
🍛,curry_rice,0.123046,0.232632
🥠,fortune_cookie,0.122988,0.108535
🍍,pineapple,0.122975,0.269202
🧼,soap,0.122449,0.124370
🥚,egg,0.122203,0.234387
🦹🏻,supervillain_light_skin_tone,0.122112,0.070770
🦧,orangutan,0.121981,0.068294
